City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,constitucion,-35.3333,-72.4167,286.59,88,36,2.87,CL,1706070058
158,east london,-33.0153,27.9116,291.67,88,75,2.06,ZA,1706070058
159,anadyr,64.75,177.4833,245.43,68,0,2.0,RU,1706070058
160,longyearbyen,78.2186,15.6401,272.06,64,75,6.17,SJ,1706070059
161,ilulissat,69.2167,-51.1,257.16,66,40,3.6,GL,1706070059
162,long beach,33.767,-118.1892,290.34,78,0,3.6,US,1706069940
163,oamaru,-45.0784,170.9801,290.58,60,100,5.04,NZ,1706070059
164,kismayo,-0.3582,42.5454,299.71,87,32,5.93,SO,1706070059
165,port lincoln,-34.7333,135.8667,296.62,60,99,4.59,AU,1706070059
166,uturoa,-16.7333,-151.4333,301.16,76,82,4.21,PF,1706070059
167,pacasmayo,-7.4006,-79.5714,297.16,82,54,5.12,PE,1706070059
168,al wajh,26.2455,36.4525,288.12,63,20,2.06,SA,1706070060
169,crane,31.3974,-102.3501,284.62,79,62,2.89,US,1706070060
170,san francisco,37.7749,-122.4194,285.94,90,75,3.09,US,1706070060
171,badger,64.8,-147.5333,240.57,69,40,0.0,US,1706070060
172,saldanha,-33.0117,17.9442,290.18,86,0,3.11,ZA,1706070060
173,casablanca,33.5928,-7.6192,283.16,68,0,1.19,MA,1706069993
174,lethem,3.3803,-59.7968,300.44,51,6,5.32,GY,1706070060
175,alofi,-19.0595,-169.9187,301.09,78,83,5.66,NU,1706070060
176,colonia,50.9333,6.95,287.57,76,100,8.23,DE,1706070053
177,zalingei,12.9096,23.4741,290.98,14,20,2.22,SD,1706069843
178,kayyerkan,69.3786,87.7439,253.87,84,100,3.98,RU,1706070061
179,salym,60.0625,71.4789,259.21,79,91,4.69,RU,1706070061
180,papao,-17.75,-149.55,301.97,78,100,5.96,PF,1706070061
181,queenstown,-31.8976,26.8753,285.81,91,14,0.34,ZA,1706070061
182,alice springs,-23.7,133.8833,313.9,21,75,3.09,AU,1706070061
183,ust-nera,64.5667,143.2,240.82,98,100,3.11,RU,1706070061
184,selfoss,63.9331,-20.9971,271.51,86,100,2.91,IS,1706070062
185,bayanhongor,46.7167,100.1167,252.99,75,1,0.55,MN,1706070062
186,puerto ayora,-0.7393,-90.3518,299.01,97,50,1.79,EC,1706070062
187,north side,19.35,-81.2,297.62,95,31,7.7,KY,1706070062
188,galveston,29.3669,-94.9669,293.75,93,100,5.14,US,1706070062
189,corinto,37.9407,22.9573,280.87,74,2,2.52,GR,1706070063
190,ambalangoda,6.2355,80.0538,300.29,73,68,2.13,LK,1706070063
191,stanley,54.868,-1.6985,282.33,81,40,15.95,GB,1706070063
192,rudnichnyy,59.617,52.4703,263.95,94,100,4.19,RU,1706070063
193,ancud,-41.8697,-73.8203,285.1,87,0,0.96,CL,1706070063
194,harstad,68.799,16.5293,271.83,90,55,1.34,NO,1706070063
195,den burg,53.0542,4.7972,283.69,81,75,12.35,NL,1706070063
196,ashburton,-37.8626,145.0794,303.36,55,58,0.89,AU,1706070064
197,neiafu,-18.65,-173.9833,302.53,84,75,2.57,TO,1706070064
198,palu,-0.8917,119.8707,297.5,98,100,0.75,ID,1706070042
199,kailua-kona,19.6406,-155.9956,299.13,85,75,2.57,US,1706069769
200,kharp,66.8014,65.8081,258.48,96,100,0.65,RU,1706070064
201,ladario,-19.0047,-57.6017,299.31,62,46,0.95,BR,1706070064
202,vuktyl,63.8567,57.3094,264.88,93,100,6.26,RU,1706070065
203,sernancelhe,40.921,-7.5123,282.76,93,0,1.22,PT,1706070065
204,montego bay,18.4712,-77.9188,298.04,73,20,1.54,JM,1706070065
205,mata-utu,-13.2816,-176.1745,302.62,70,100,1.14,WF,1706070065
206,port blair,11.6667,92.75,301.17,69,40,4.12,IN,1706070065
207,vorgashor,67.5833,63.95,262.83,96,100,3.44,RU,1706070066
208,goure,13.9835,10.2704,289.32,29,30,5.63,NE,1706070066
209,margate,51.3813,1.3862,285.2,68,100,4.47,GB,1706069936
210,katsuren-haebaru,26.3369,127.8719,288.58,64,100,7.72,JP,1706070066
211,borba,-4.3878,-59.5939,297.55,98,100,1.08,BR,1706070066
212,aripuana,-9.1667,-60.6333,296.4,99,100,0.93,BR,1706070066
213,constantia,44.1833,28.65,266.53,81,82,5.34,RO,1706070066
214,fonte boa,-2.4959,-66.2662,297.61,97,99,0.99,BR,1706070066
215,picota,-6.9197,-76.3304,295.65,96,93,0.29,PE,1706070067
216,kshenskiy,51.8408,37.7136,268.35,89,100,6.69,RU,1706070067
217,afaahiti,-17.75,-149.2833,301.08,81,100,4.81,PF,1706070067
218,nova sintra,14.8667,-24.7167,295.36,68,6,4.32,CV,1706070067
219,berdigestyakh,62.0989,126.6992,263.63,94,100,3.72,RU,1706070067
220,laguna,38.421,-121.4238,286.14,89,0,2.57,US,1706070067
221,howard springs,-12.497,131.047,299.1,96,100,2.0,AU,1706070067
222,east ballina,-28.8667,153.5833,301.93,56,5,3.92,AU,1706070067
223,dimbokro,6.6451,-4.7048,296.22,92,6,1.31,CI,1706070068
224,nova olimpia,-14.7972,-57.2881,296.77,95,100,0.8,BR,1706070068
225,namibe,-15.1961,12.1522,294.94,81,35,3.25,AO,1706070068
226,otjimbingwe,-22.35,16.1333,299.08,38,100,1.3,NA,1706070068
227,nueva gerona,21.8833,-82.8,298.52,79,100,6.41,CU,1706070068
228,akureyri,65.6835,-18.0878,264.11,86,0,1.54,IS,1706070068
